"DATA","ANNO","NOME_PROVINCIA","DECESSI"
"2015-01-01",15,"Bergamo",50
"2015-01-01",15,"Brescia",40
"2015-01-01",15,"Como",14
"2015-01-01",15,"Cremona",14
"2015-01-01",15,"Lecco",2
"2015-01-01",15,"Lodi",16
"2015-01-01",15,"Mantova",18
"2015-01-01",15,"Milano",134
"2015-01-01",15,"Monza e della Brianza",12
"2015-01-01",15,"Pavia",24
"2015-01-01",15,"Sondrio",4
"2015-01-01",15,"Varese",6
"2015-01-02",15,"Bergamo",40
"2015-01-02",15,"Brescia",46
"2015-01-02",15,"Como",12
"2015-01-02",15,"Cremona",24
"2015-01-02",15,"Lecco",2
"2015-01-02",15,"Lodi",14
"2015-01-02",15,"Mantova",14
"2015-01-02",15,"Milano",190
"2015-01-02",15,"Monza e della Brianza",12
"2015-01-02",15,"Pavia",26
"2015-01-02",15,"Sondrio",2
"2015-01-02",15,"Varese",4
"2015-01-03",15,"Bergamo",58
"2015-01-03",15,"Brescia",48
"2015-01-03",15,"Como",20
"2015-01-03",15,"Cremona",28
"2015-01-03",15,"Lecco",6
"2015-01-03",15,"Lodi",2
"2015-01-03",15,"Mantova",20
"2015-01-03",15,"Milano",152
"2015-01-03",15,"Monza e della Brianza",20
"2015-01-03",15,"Pavia",18
"2015-01-03",15,"Sondrio",2
"2015-01-03",15,"Varese",0
"2015-01-04",15,"Bergamo",40
"2015-01-04",15,"Brescia",54
"2015-01-04",15,"Como",14
"2015-01-04",15,"Cremona",32
"2015-01-04",15,"Lecco",8
"2015-01-04",15,"Lodi",10
"2015-01-04",15,"Mantova",16
"2015-01-04",15,"Milano",168
"2015-01-04",15,"Monza e della Brianza",16
"2015-01-04",15,"Pavia",20
"2015-01-04",15,"Sondrio",2
"2015-01-04",15,"Varese",4
"2015-01-05",15,"Bergamo",42
"2015-01-05",15,"Brescia",54
"2015-01-05",15,"Como",12
"2015-01-05",15,"Cremona",16
"2015-01-05",15,"Lecco",6
"2015-01-05",15,"Lodi",18
"2015-01-05",15,"Mantova",22
"2015-01-05",15,"Milano",172
"2015-01-05",15,"Monza e della Brianza",4
"2015-01-05",15,"Pavia",8
"2015-01-05",15,"Sondrio",0
"2015-01-05",15,"Varese",6
"2015-01-06",15,"Bergamo",60
"2015-01-06",15,"Brescia",62
"2015-01-06",15,"Como",14
"2015-01-06",15,"Cremona",14
"2015-01-06",15,"Lecco",10
"2015-01-06",15,"Lodi",12
"2015-01-06",15,"Mantova",20
"2015-01-06",15,"Milano",188
"2015-01-06",15,"Monza e della Brianza",14
"2015-01-06",15,"Pavia",38
"2015-01-06",15,"Sondrio",4
"2015-01-06",15,"Varese",4
"2015-01-07",15,"Bergamo",38
"2015-01-07",15,"Brescia",46
"2015-01-07",15,"Como",16
"2015-01-07",15,"Cremona",24
"2015-01-07",15,"Lecco",12
"2015-01-07",15,"Lodi",18
