"DATA","ANNO","NOME_PROVINCIA","DECESSI"
"2015-01-01",15,"Bergamo",25
"2015-01-01",15,"Brescia",24
"2015-01-01",15,"Como",12
"2015-01-01",15,"Cremona",8
"2015-01-01",15,"Lecco",4
"2015-01-01",15,"Lodi",8
"2015-01-01",15,"Mantova",12
"2015-01-01",15,"Milano",72
"2015-01-01",15,"Monza e della Brianza",13
"2015-01-01",15,"Pavia",19
"2015-01-01",15,"Sondrio",6
"2015-01-01",15,"Varese",10
"2015-01-02",15,"Bergamo",21
"2015-01-02",15,"Brescia",30
"2015-01-02",15,"Como",9
"2015-01-02",15,"Cremona",12
"2015-01-02",15,"Lecco",6
"2015-01-02",15,"Lodi",7
"2015-01-02",15,"Mantova",7
"2015-01-02",15,"Milano",109
"2015-01-02",15,"Monza e della Brianza",22
"2015-01-02",15,"Pavia",16
"2015-01-02",15,"Sondrio",4
"2015-01-02",15,"Varese",16
"2015-01-03",15,"Bergamo",31
"2015-01-03",15,"Brescia",25
"2015-01-03",15,"Como",14
"2015-01-03",15,"Cremona",16
"2015-01-03",15,"Lecco",6
"2015-01-03",15,"Lodi",3
"2015-01-03",15,"Mantova",12
"2015-01-03",15,"Milano",81
"2015-01-03",15,"Monza e della Brianza",22
"2015-01-03",15,"Pavia",12
"2015-01-03",15,"Sondrio",5
"2015-01-03",15,"Varese",13
"2015-01-04",15,"Bergamo",22
"2015-01-04",15,"Brescia",35
"2015-01-04",15,"Como",14
"2015-01-04",15,"Cremona",17
"2015-01-04",15,"Lecco",10
"2015-01-04",15,"Lodi",5
"2015-01-04",15,"Mantova",12
"2015-01-04",15,"Milano",94
"2015-01-04",15,"Monza e della Brianza",17
"2015-01-04",15,"Pavia",12
"2015-01-04",15,"Sondrio",3
"2015-01-04",15,"Varese",16
"2015-01-05",15,"Bergamo",23
"2015-01-05",15,"Brescia",30
"2015-01-05",15,"Como",12
"2015-01-05",15,"Cremona",9
"2015-01-05",15,"Lecco",5
"2015-01-05",15,"Lodi",9
"2015-01-05",15,"Mantova",13
"2015-01-05",15,"Milano",87
"2015-01-05",15,"Monza e della Brianza",13
"2015-01-05",15,"Pavia",5
"2015-01-05",15,"Sondrio",2
"2015-01-05",15,"Varese",13
"2015-01-06",15,"Bergamo",30
"2015-01-06",15,"Brescia",38
"2015-01-06",15,"Como",13
"2015-01-06",15,"Cremona",8
"2015-01-06",15,"Lecco",10
"2015-01-06",15,"Lodi",6
"2015-01-06",15,"Mantova",11
"2015-01-06",15,"Milano",102
"2015-01-06",15,"Monza e della Brianza",26
"2015-01-06",15,"Pavia",20
"2015-01-06",15,"Sondrio",4
"2015-01-06",15,"Varese",16
"2015-01-07",15,"Bergamo",20
"2015-01-07",15,"Brescia",27
"2015-01-07",15,"Como",14
"2015-01-07",15,"Cremona",14
"2015-01-07",15,"Lecco",10
"2015-01-07",15,"Lodi",9
"2015-01-07",15,"Mantova",10
"2015-01-07",15,"Milano",88
"2015-01-07",15,"Monza e della Brianza",20
"2015-01-07",15,"Pavia",22
"2015-01-07",15,"Sondrio",5
"2015-01-07",15,"Varese",16
"2015-01-08",15,"Bergamo",18
"2015-01-08",15,"Brescia",27
"2015-01-08",15,"Como",11
"2015-01-08",15,"Cremona",8
"2015-01-08",15,"Lecco",6
"2015-01-08",15,"Lodi",7
"2015-01-08",15,"Mantova",17
"2015-01-08",15,"Milano",97
"2015-01-08",15,"Monza e della Brianza",14
"2015-01-08",15,"Pavia",16
"2015-01-08",15,"Sondrio",6
"2015-01-08",15,"Varese",13
"2015-01-09",15,"Bergamo",30
"2015-01-09",15,"Brescia",39
"2015-01-09",15,"Como",15
"2015-01-09",15,"Cremona",8
"2015-01-09",15,"Lecco",9
"2015-01-09",15,"Lodi",10
"2015-01-09",15,"Mantova",12
"2015-01-09",15,"Milano",97
"2015-01-09",15,"Monza e della Brianza",17
"2015-01-09",15,"Pavia",16
"2015-01-09",15,"Sondrio",1
"2015-01-09",15,"Varese",15
"2015-01-10",15,"Bergamo",27
"2015-01-10",15,"Brescia",39
"2015-01-10",15,"Como",13
"2015-01-10",15,"Cremona",12
"2015-01-10",15,"Lecco",1
"2015-01-10",15,"Lodi",4
"2015-01-10",15,"Mantova",9
"2015-01-10",15,"Milano",111
"2015-01-10",15,"Monza e della Brianza",19
"2015-01-10",15,"Pavia",16
"2015-01-10",15,"Sondrio",5
"2015-01-10",15,"Varese",12
"2015-01-11",15,"Bergamo",21
"2015-01-11",15,"Brescia",30
"2015-01-11",15,"Como",17
"2015-01-11",15,"Cremona",16
"2015-01-11",15,"Lecco",6
"2015-01-11",15,"Lodi",4
"2015-01-11",15,"Mantova",11
"2015-01-11",15,"Milano",90
"2015-01-11",15,"Monza e della Brianza",16
"2015-01-11",15,"Pavia",18
"2015-01-11",15,"Sondrio",2
"2015-01-11",15,"Varese",15
"2015-01-12",15,"Bergamo",19
"2015-01-12",15,"Brescia",29
"2015-01-12",15,"Como",10
"2015-01-12",15,"Cremona",13
"2015-01-12",15,"Lecco",9
"2015-01-12",15,"Lodi",4
"2015-01-12",15,"Mantova",10
"2015-01-12",15,"Milano",73
"2015-01-12",15,"Monza e della Brianza",23
"2015-01-12",15,"Pavia",16
"2015-01-12",15,"Sondrio",4
"2015-01-12",15,"Varese",15
"2015-01-13",15,"Bergamo",25
"2015-01-13",15,"Brescia",35
"2015-01-13",15,"Como",8
"2015-01-13",15,"Cremona",7
"2015-01-13",15,"Lecco",7
"2015-01-13",15,"Lodi",4
"2015-01-13",15,"Mantova",12
"2015-01-13",15,"Milano",74
"2015-01-13",15,"Monza e della Brianza",22
"2015-01-13",15,"Pavia",11
"2015-01-13",15,"Sondrio",5
"2015-01-13",15,"Varese",13
"2015-01-14",15,"Bergamo",30
"2015-01-14",15,"Brescia",28
